Defects,Formation_Energies
GaP_III_V_M_A_V.cif,-0.98
GaP_III_V_M_B_Al.cif,0.00
GaP_III_V_M_B_As.cif,-0.01
GaP_III_V_M_B_B.cif,-0.01
GaP_III_V_M_B_Bi.cif,-0.01
GaP_III_V_M_B_Br.cif,-0.18
GaP_III_V_M_B_C.cif,-0.01
GaP_III_V_M_B_Cd.cif,-0.01
GaP_III_V_M_B_Cr.cif,-0.01
GaP_III_V_M_B_Cu.cif,0.00
GaP_III_V_M_B_Ga.cif,0.00
GaP_III_V_M_B_In.cif,0.00
GaP_III_V_M_B_N.cif,-2.22
GaP_III_V_M_B_Ni.cif,0.00
GaP_III_V_M_B_Si.cif,0.00
GaP_III_V_M_B_Sn.cif,0.00
GaP_III_V_M_B_Zn.cif,-0.01
GaP_III_V_M_i_A_Cr.cif,-1.68
GaP_III_V_M_i_A_Cu.cif,-0.06
GaP_III_V_M_i_A_Fe.cif,-0.03
GaP_III_V_M_i_A_Li.cif,-0.30
GaP_III_V_M_i_A_Mn.cif,-0.37
GaP_III_V_M_i_A_Ni.cif,-0.17
GaP_III_V_M_i_A_V.cif,-0.89
GaP_III_V_M_i_B_Cr.cif,-1.69
GaP_III_V_M_i_B_Cu.cif,-0.27
GaP_III_V_M_i_B_Fe.cif,-0.16
GaP_III_V_M_i_B_Li.cif,-0.42
GaP_III_V_M_i_B_Mn.cif,-0.91
GaP_III_V_M_i_B_Na.cif,-0.05
GaP_III_V_M_i_B_Ni.cif,-0.32
GaP_III_V_M_i_B_Ti.cif,-0.41
GaP_III_V_M_i_B_V.cif,-1.37
GaP_III_V_M_i_neut_Cr.cif,-0.78
GaP_III_V_M_i_neut_Ni.cif,-0.01
GaP_III_V_M_i_neut_V.cif,-0.35
GaSb_III_V_M_A_Al.cif,0.00
GaSb_III_V_M_A_Cr.cif,-1.38
GaSb_III_V_M_A_Cu.cif,-0.47
GaSb_III_V_M_A_Fe.cif,-0.38
GaSb_III_V_M_A_Ga.cif,-0.01
GaSb_III_V_M_A_In.cif,-0.01
GaSb_III_V_M_A_Mn.cif,-0.55
GaSb_III_V_M_A_N.cif,0.00
GaSb_III_V_M_A_Ni.cif,-0.05
GaSb_III_V_M_A_Ti.cif,-0.58
GaSb_III_V_M_A_V.cif,-0.80
GaSb_III_V_M_A_Zn.cif,0.00
GaSb_III_V_M_B_Al.cif,-0.01
GaSb_III_V_M_B_As.cif,-0.02
GaSb_III_V_M_B_B.cif,0.00
GaSb_III_V_M_B_Cr.cif,-0.51
GaSb_III_V_M_B_Cu.cif,0.00
GaSb_III_V_M_B_Fe.cif,-0.01
